T,article_title,date,event,Unnamed: 0
0.0,"[신년올림픽기획]평창 돌풍 '팀킴' 그 후 4년, 우여곡절 끝 다시 베이징으로 간다",2022-01-01,CUR,
1.0,"스켈레톤 정승기, 윤성빈 제치고 첫 동메달",2022-01-01,SKN,
2.0,'첫 월드컵 메달' 정승기‥'아이언맨' 윤성빈 추월,2022-01-01,SKN,
3.0,"스켈레톤 정승기, 월드컵 첫 메달 '감격'…윤성빈 17위",2022-01-01,SKN,
4.0,"스켈레톤 정승기, 생애 첫 월드컵 메달 획득",2022-01-01,SKN,
5.0,"스켈레톤 기대주 정승기, 생애 첫 월드컵 메달..6차 대회서 3위",2022-01-01,SKN,
6.0,"스켈레톤 기대주 정승기, 생애 첫 월드컵 메달 획득",2022-01-01,SKN,
7.0,"정승기, 윤성빈 제치고 스켈레톤 첫 월드컵 메달 획득",2022-01-01,SKN,
8.0,"스켈레톤 정승기, 6차 월드컵서 생애 첫 메달 획득",2022-01-01,SKN,
9.0,"스켈레톤 정승기, 평창 금메달 윤성빈 제쳐…한국 첫 메달",2022-01-01,SKN,
10.0,"봅슬레이 원윤종팀, 시즌 최고 성적…월드컵 6차 9위",2022-01-02,BOB,
11.0,"원윤종-김진수, 시즌 6번째 월드컵서 男 봅슬레이 2인승 9위",2022-01-02,BOB,
12.0,"원윤종-김진수, 봅슬레이 월드컵 6차 대회서 9위",2022-01-02,BOB,
13.0,"봅슬레이 2인승 원윤종팀, 월드컵 6차 대회서 9위",2022-01-02,BOB,
14.0,"생애 첫 월드컵 입상 정승기 ""베이징 올림픽 스켈레톤 메달 도전""",2022-01-02,SKN,
15.0,"봅슬레이 원윤종팀, 올림픽 앞두고 상승세... 월드컵 시즌 최고 6위",2022-01-03,BOB,
16.0,"원윤종팀, 올림픽 앞두고 상승세…월드컵 시즌 최고 6위",2022-01-03,BOB,
17.0,"꺼져가던 희망의 불씨, 다시 살려내는 원윤종",2022-01-03,BOB,
18.0,"봅슬레이 원윤종팀, 월드컵 6차 대회에서 시즌 최고 성적",2022-01-03,BOB,
19.0,"한국 메달밭 쇼트트랙, 베이징서 첫 도입되는 혼성 계주",2022-01-03,STK,
20.0,"최민정, 평창의 못 다 이룬 꿈 베이징서 펼쳐라 [니하오, 베이징 ①]",2022-01-03,STK,
21.0,"""베이징에 태극기를!"" 호랑이띠 최민정 ""책임감 느낀다""",2022-01-03,STK,
22.0,4년 전 평창 은반 주름잡은 피겨 금메달리스트 근황은?,2022-01-03,FSK,
23.0,차준환 “내 MBTI는 도전형…힙합 댄스까지 배웠어요”,2022-01-03,FSK,
