T,article_title,date,event
0,"[신년올림픽기획]평창 돌풍 '팀킴' 그 후 4년, 우여곡절 끝 다시 베이징으로 간다",2022-01-01,CUR
1,"스켈레톤 정승기, 윤성빈 제치고 첫 동메달",2022-01-01,SKN
2,'첫 월드컵 메달' 정승기‥'아이언맨' 윤성빈 추월,2022-01-01,SKN
3,"스켈레톤 정승기, 월드컵 첫 메달 '감격'…윤성빈 17위",2022-01-01,SKN
4,"스켈레톤 정승기, 생애 첫 월드컵 메달 획득",2022-01-01,SKN
5,"스켈레톤 기대주 정승기, 생애 첫 월드컵 메달..6차 대회서 3위",2022-01-01,SKN
6,"스켈레톤 기대주 정승기, 생애 첫 월드컵 메달 획득",2022-01-01,SKN
7,"정승기, 윤성빈 제치고 스켈레톤 첫 월드컵 메달 획득",2022-01-01,SKN
8,"스켈레톤 정승기, 6차 월드컵서 생애 첫 메달 획득",2022-01-01,SKN
9,"스켈레톤 정승기, 평창 금메달 윤성빈 제쳐…한국 첫 메달",2022-01-01,SKN
10,"봅슬레이 원윤종팀, 시즌 최고 성적…월드컵 6차 9위",2022-01-02,BOB
11,"원윤종-김진수, 시즌 6번째 월드컵서 男 봅슬레이 2인승 9위",2022-01-02,BOB
12,"원윤종-김진수, 봅슬레이 월드컵 6차 대회서 9위",2022-01-02,BOB
13,"봅슬레이 2인승 원윤종팀, 월드컵 6차 대회서 9위",2022-01-02,BOB
14,"생애 첫 월드컵 입상 정승기 ""베이징 올림픽 스켈레톤 메달 도전""",2022-01-02,SKN
15,"봅슬레이 원윤종팀, 올림픽 앞두고 상승세... 월드컵 시즌 최고 6위",2022-01-03,BOB
16,"원윤종팀, 올림픽 앞두고 상승세…월드컵 시즌 최고 6위",2022-01-03,BOB
17,"꺼져가던 희망의 불씨, 다시 살려내는 원윤종",2022-01-03,BOB
18,"봅슬레이 원윤종팀, 월드컵 6차 대회에서 시즌 최고 성적",2022-01-03,BOB
19,"한국 메달밭 쇼트트랙, 베이징서 첫 도입되는 혼성 계주",2022-01-03,STK
20,"최민정, 평창의 못 다 이룬 꿈 베이징서 펼쳐라 [니하오, 베이징 ①]",2022-01-03,STK
21,"""베이징에 태극기를!"" 호랑이띠 최민정 ""책임감 느낀다""",2022-01-03,STK
22,4년 전 평창 은반 주름잡은 피겨 금메달리스트 근황은?,2022-01-03,FSK
23,차준환 “내 MBTI는 도전형…힙합 댄스까지 배웠어요”,2022-01-03,FSK
24,"‘준비된 메달리스트’ 정승기, 이제는 베이징올림픽 정조준",2022-01-03,SKN
25,"[스켈레톤] 윤성빈 앞지른 정승기, 시굴다 트랙에서 피어오른 희망",2022-01-03,SKN
26,"정승기, 월드컵 첫 메달",2022-01-03,SKN
27,"스켈레톤 정승기, 월드컵 동메달… 윤성빈 랭킹 앞질러",2022-01-03,SKN
28,베이징 올림픽에서의 스피드스케이팅은?,2022-01-04,SSK
29,"빙속 세대 교체, 맡겨주세요 김민석, 정재원, 차민규 [니하오 베이징 ②]",2022-01-04,SSK
30,"이상화, 베이징 동계올림픽으로 첫 해설…""실수 없게 준비""",2022-01-04,SSK
31,이상화 “빙속 여제 수식어 잃고 싶지 않아” (2022 베이징올림픽),2022-01-04,SSK
32,女컬링 ‘팀 킴’도 오미크론에 막혔다…그랜드슬램 오픈 취소,2022-01-04,CUR
33,"'팀 킴' 출전 예정 '컬링 그랜드슬램 오픈', 오미크론 여파로 취소",2022-01-04,CUR
34,"'팀 킴 출전' 컬링 그랜드슬램 오픈, 오미크론 여파로 취소",2022-01-04,CUR
35,"'팀 킴 출전' 컬링 그랜드슬램 오픈, 오미크론 여파로 취소",2022-01-04,CUR
36,'평창 스타' 스노보더 클로이김 '후워즈' 시리즈에 소개,2022-01-04,SBD
37,"10위권 밖 머물던 봅슬레이 2인승, 올림픽 다가오자 6위로",2022-01-04,BOB
38,"'깜짝 세계 1위' 이유빈 ""오뚝이처럼 일어날게요""",2022-01-04,STK
39,러시아 피겨 샛별 발리예바 ‘피겨 여왕’ 등극하나,2022-01-04,FSK
40,"은·동메달은 있어요, 남은 목표 명확하죠",2022-01-05,SSK
41,"2회 연속 메달 도전 김보름 ""후회없는 레이스 펼치겠다""",2022-01-05,SSK
42,빙속 김보름 “메달 색깔보단 ‘후회 없는 레이스’가 목표”,2022-01-05,SSK
43,"'스피드스케이팅 간판' 김민석 ""월드컵 소화로 기량↑...후회없는 레이스 목표""[오!쎈진천]",2022-01-05,SSK
44,"'빙속 라이징 스타' 김민석 ""부담 없이 올림픽 준비 중""",2022-01-05,SSK
45,"스피드스케이팅 선봉 김민석 ""첫 메달로 선수단에 힘 주고 싶어""",2022-01-05,SSK
46,"빙속 선봉 김민석 ""좋은 결과 얻어 동료들에게 힘 불어 넣겠다""",2022-01-05,SSK
47,"베이징행 앞둔 '빙속' 김보름 ""후회 없는 레이스 할 것""[베이징올림픽]",2022-01-05,SSK
48,"'금메달 1~2개' 낮은 韓 목표치...김보름, 사기저하 없다 ""목표는 선수가 세우는 것""[오!쎈진천]",2022-01-05,SSK
49,[베이징올림픽 G-30]매스스타트 김보름이 다시 뛴다 “후회 없는 레이스”,2022-01-05,SSK
50,"‘빙속 여제’ 이상화, 베이징올림픽서 해설위원 데뷔",2022-01-05,SSK
51,"‘평창의 눈물’ 그후 4년, 이젠 스케이트 예뻐보여… 베이징에선 웃어야죠",2022-01-05,SSK
52,"다시 ""영미""…'팀 킴', 시련 딛고 올림픽 본선 티켓 획득",2022-01-05,CUR
53,"팀 킴 ""목표보다 과정""… 베이징동계올림픽 각오 밝혀",2022-01-05,CUR
54,"베이징에서도 '영미~' 여자컬링 팀 킴 ""결과보다 과정""",2022-01-05,CUR
55,"평창서 감동 안긴 '팀 킴'…""4년 간 더 단단해져, 결과보다 과정에 집중""",2022-01-05,CUR
56,"2연속 메달 꿈꾸는 팀 킴 ""과정 집중하면 메달도 가능""",2022-01-05,CUR
57,"올림픽 막차 탄 팀 킴 “더 단단해졌다, 베이징서 좋은 결과 낼 것”",2022-01-05,CUR
58,"재정비 완료된 컬링 '팀 킴' ""많은 일 있었다..현재에 집중""[베이징올림픽]",2022-01-05,CUR
59,"4년전 평창 '팀킴 돌풍' 여자 컬링, 김선영 ""4년동안 우여곡절 많았다. 베이징에서는 컬링이 국민에게 기쁨주겠다""",2022-01-05,CUR
60,[단독]올림픽 2연속 메달 향한 팀 킴 “빙질 변화 빠른 적응이 관건”,2022-01-05,CUR
61,"'스키 여제' 시프린, 코로나19 털어내고 복귀전에서 준우승",2022-01-05,ALP
62,"美 스키여제 시프린, 자가격리후 첫 출전 준우승",2022-01-05,ALP
63,"‘스키여제’ 시프린, 코로나19 회복후 월드컵 준우승",2022-01-05,ALP
64,"‘스키여제’ 시프린, 코로나19 회복 후 월드컵 준우승",2022-01-05,ALP
65,"'스키 여제' 시프린, 코로나19 회복 후 복귀전 준우승",2022-01-05,ALP
66,"코로나19 극복한 시프린, 복귀 대회서 준우승",2022-01-05,ALP
67,"코로나 뛰어 넘은 ‘스키 여제’ 시프린, 월드컵 준우승",2022-01-05,ALP
68,"'스키 여제' 시프린, 코로나19 완쾌 후 복귀전에서 준우승",2022-01-05,ALP
69,"코로나19서 돌아온 시프린, 월드컵 여자 회전 준우승",2022-01-05,ALP
70,"""내가 돌아왔다"" 코로나19 털고 온 시프린, 월드컵 여자 회전 준우승",2022-01-05,ALP
71,"코로나19서 돌아온 시프린, 월드컵 여자 회전 준우승",2022-01-05,ALP
72,돌아온 '배추보이' 이상호…베이징 꿈 영근다,2022-01-05,SBD
73,마지막 눈밭 질주 앞둔 ‘플라잉 토마토’…베이징서도 ‘지존’ 등극할까,2022-01-05,SBD
74,"역경 딛고 돌아온 클로이 김, 베이징 빛낼 최고별",2022-01-05,SBD
75,'중국 관중 함성' 틀고 맹훈…악재 딛고 구슬땀,2022-01-05,STK
76,"그래도 희망은 쇼트트랙 ""중국 텃세? 분위기? 걱정 마세요""",2022-01-05,STK
77,"'핀 박고 출전' 김지유 ""기적을 한번 써볼게요""",2022-01-05,STK
78,"겨울올림픽 30일 앞으로‥""쇼트트랙은 역시 한국""",2022-01-05,STK
79,"2022 베이징동계올림픽 G-30 ""그래도 쇼트트랙""",2022-01-05,STK
80,미소 찾은 최민정 “역시 쇼트트랙은 한국이란 말 듣도록 할 것”,2022-01-05,STK
81,"베이징 동계올림픽 G-30...최민정 ""기대 이상이면 기쁨은 배""",2022-01-05,STK
82,"쇼트트랙 이영석 코치 ""대표팀 목표, 금 1~2개보다 높다""",2022-01-05,STK
