date,event,nouns
2022-01-01,CUR,"['신년올림픽기획', '평창', '돌풍', '팀킴', '후', '4년', '우여곡절', '끝', '베이징']"
2022-01-01,SKN,"['스켈레톤', '정승기', '윤성빈', '첫', '동메달']"
2022-01-01,SKN,"['첫', '월드컵', '메달', '정승기', '아이언맨', '윤성빈', '추월']"
2022-01-01,SKN,"['스켈레톤', '정승기', '월드컵', '첫', '메달', '감격', '윤성빈', '17위']"
2022-01-01,SKN,"['스켈레톤', '정승기', '생애', '첫', '월드컵', '메달', '획득']"
2022-01-01,SKN,"['스켈레톤', '기대주', '정승기', '생애', '첫', '월드컵', '메달', '6차', '대회', '3위']"
2022-01-01,SKN,"['스켈레톤', '기대주', '정승기', '생애', '첫', '월드컵', '메달', '획득']"
2022-01-01,SKN,"['정승기', '윤성빈', '스켈레톤', '첫', '월드컵', '메달', '획득']"
2022-01-01,SKN,"['스켈레톤', '정승기', '6차', '월드컵', '생애', '첫', '메달', '획득']"
2022-01-01,SKN,"['스켈레톤', '정승기', '평창', '금메달', '윤성빈', '한국', '첫', '메달']"
2022-01-02,BOB,"['봅슬레이', '원윤종팀', '시즌', '최고', '성적', '월드컵', '6차', '9위']"
2022-01-02,BOB,"['원윤종', '김진수', '시즌', '6번', '월드컵', '男', '봅슬레이', '2인승', '9위']"
2022-01-02,BOB,"['원윤종', '김진수', '봅슬레이', '월드컵', '6차', '대회', '9위']"
2022-01-02,BOB,"['봅슬레이', '2인승', '원윤종팀', '월드컵', '6차', '대회', '9위']"
2022-01-02,SKN,"['생애', '첫', '월드컵', '입상', '정승기', '베이징', '올림픽', '스켈레톤', '메달', '도전']"
2022-01-03,BOB,"['봅슬레이', '원윤종팀', '올림픽', '상승세', '월드컵', '시즌', '최고', '6위']"
2022-01-03,BOB,"['원윤종팀', '올림픽', '상승세', '월드컵', '시즌', '최고', '6위']"
2022-01-03,BOB,"['희망', '불씨', '원윤종']"
2022-01-03,BOB,"['봅슬레이', '원윤종팀', '월드컵', '6차', '대회', '시즌', '최고', '성적']"
2022-01-03,STK,"['한국', '메달밭', '쇼트트랙', '베이징서', '첫', '도입', '혼성', '계주']"
2022-01-03,STK,"['최민정', '평창', '베이징', '니하오', '베이징']"
2022-01-03,STK,"['베이징', '태극기', '호랑이띠', '최민정', '책임감']"
2022-01-03,FSK,"['4년', '전', '평창', '은반', '주름잡', '피겨', '금메달리스트', '근황']"
2022-01-03,FSK,"['차준환', '내', '도전형', '힙합', '댄스']"
2022-01-03,SKN,"['준비', '메달리스트', '정승기', '베이징올림픽', '정조준']"
2022-01-03,SKN,"['스켈레톤', '윤성빈', '정승기', '시굴다', '트랙', '희망']"
2022-01-03,SKN,"['정승기', '월드컵', '첫', '메달']"
2022-01-03,SKN,"['스켈레톤', '정승기', '월드컵', '동메달', '윤성빈', '랭킹']"
2022-01-04,SSK,"['베이징', '올림픽', '스피드스케이팅']"
2022-01-04,SSK,"['빙속', '세대', '교체', '김민석', '정재원', '차민규', '니하오', '베이징']"
2022-01-04,SSK,"['이상화', '베이징', '동계올림픽', '첫', '실수', '준비']"
2022-01-04,SSK,"['이상화', '빙속', '여제', '수식어', '2022', '베이징올림픽']"
2022-01-04,CUR,"['女컬링', '팀', '도', '오미크론', '그랜드슬램', '오픈', '취소']"
2022-01-04,CUR,"['팀', '전', '예정', '컬링', '그랜드슬램', '오픈', '오미크론', '여파', '취소']"
2022-01-04,CUR,"['팀', '전', '컬링', '그랜드슬램', '오픈', '오미크론', '여파', '취소']"
2022-01-04,CUR,"['팀', '전', '컬링', '그랜드슬램', '오픈', '오미크론', '여파', '취소']"
2022-01-04,SBD,"['평창', '스타', '스노보더', '클로이김', '후워즈', '시리즈', '소개']"
2022-01-04,BOB,"['10위', '밖', '봅슬레이', '2인승', '올림픽', '6위']"
2022-01-04,STK,"['세계', '1위', '이유빈', '오뚝이', '일어날게요']"
